"team","role","staff_name","nationality","source_url","source_as_of","verified_at","status"
"Argentina","Assistant coach","Walter Samuel","","https://en.wikipedia.org/wiki/Argentina_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Argentina","Assistant coach","Roberto Ayala","","https://en.wikipedia.org/wiki/Argentina_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Algeria","Assistant coach","Davide Morandi","","https://en.wikipedia.org/wiki/Algeria_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Algeria","Assistant coach","Nabil Neghiz","","https://en.wikipedia.org/wiki/Algeria_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Algeria","Goalkeeping coach","Merouane Messai","","https://en.wikipedia.org/wiki/Algeria_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Algeria","Goalkeeping coach","Nacereddine Berarma","","https://en.wikipedia.org/wiki/Algeria_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Jordan","Assistant coach","Mustapha Khalfi","","https://en.wikipedia.org/wiki/Jordan_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Jordan","Assistant coach","Omar Najhi","","https://en.wikipedia.org/wiki/Jordan_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Jordan","Goalkeeping coach","Ibrahim Ayed","","https://en.wikipedia.org/wiki/Jordan_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"DR Congo","Assistant coach","Rafael Hamidi Cuadros","","https://en.wikipedia.org/wiki/DR_Congo_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"DR Congo","Goalkeeping coach","Robert Kidiaba","","https://en.wikipedia.org/wiki/DR_Congo_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Croatia","Assistant coach","Vedran Ćorluka","","https://en.wikipedia.org/wiki/Croatia_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Croatia","Goalkeeping coach","Marjan Mrmić","","https://en.wikipedia.org/wiki/Croatia_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Croatia","Goalkeeping coach","Danijel Subašić","","https://en.wikipedia.org/wiki/Croatia_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Ghana","Assistant coach","Roger De Sá","","https://en.wikipedia.org/wiki/Ghana_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Ghana","Assistant coach","John Paintsil","","https://en.wikipedia.org/wiki/Ghana_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Ghana","Goalkeeping coach","Daniel Gaspar","","https://en.wikipedia.org/wiki/Ghana_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
"Ghana","Assistant goalkeeping coach","Fatau Dauda","","https://en.wikipedia.org/wiki/Ghana_national_football_team","2026","2026-06-18","secondary_source_requires_federation_confirmation"
